╫ца║,╫р (M/T)
1980,5311406
1981,7148703
1982,7307855
1983,7607541
1984,7970330
1985,7855262
1986,7871368
1987,7595760
1988,8260162
1989,8099953
1990,7721968
1991,7292534
1992,7256894
1993,6403875
1994,6826167
1995,6388773
1996,7122866
1997,7314885
1998,6790125
1999,7065900
2000,7196582
2001,7406517
2002,6687225
2003,6151202
2004,6736925
2005,6434972
2006,6305492
2007,5961693
2008,6468281
2009,6502249
2010,5810817
2011,5615916
2012,5405155
2013,5631689
2014,5637682
2015,5771026
2016,5624607
2017,5285551
2018,5195437
2019,5016083
2020,4713162
