"월별(1)",2013,2014,2015,2016,2017,2018,2019
"월별(1)",합계,합계,합계,합계,합계,합계,합계
"월별(1)",전력사용량 (MWh),전력사용량 (MWh),전력사용량 (MWh),전력사용량 (MWh),전력사용량 (MWh),전력사용량 (MWh),전력사용량 (MWh)
"합계",45466410,47294961,47286062,48453931,50180202,52012705,52644854
"1월",4111542,4240903,-,4278712,4362665,4628993,4792097
"2월",3622215,3924659,-,4101465,4225253,4387240,4297030
"3월",3808272,4085945,-,4090460,4277073,4370210,4414219
"4월",3708180,3889221,-,3938652,4069577,4158537,4272633
"5월",3659870,3820255,-,3822073,3974475,4128142,4294717
"6월",3581181,3809582,-,3789423,4000824,4102184,4253487
"7월",3708929,3920746,-,4019425,4240321,4342389,4475404
"8월",3766940,3891818,-,4182948,4316873,4626019,4611353
"9월",3671778,3745396,-,3924897,4109028,4195754,4253081
"10월",3776176,3818065,-,3903213,3903712,4142501,4141846
"11월",3940655,3982861,-,4107340,4263161,4358067,4338290
"12월",4110670,4165510,-,4295324,4437240,4572671,4500697
